Names	!color
Euryarchaeota-none-none-none-Aciduliprofundum-Aciduliprofundum_boonei-GCA_000025665	#006699
Euryarchaeota-none-none-none-Aciduliprofundum-Aciduliprofundum_boonei-GCA_000151085	#006699
Euryarchaeota-none-none-none-Aciduliprofundum-Aciduliprofundum_sp_MAR08-339-GCA_000327505	#006699
Euryarchaeota-none-none-none-Aciduliprofundum-Aciduliprofundum_sp_JdFR-44-GCA_002010375	#006699
Euryarchaeota-none-none-none-Aciduliprofundum-Aciduliprofundum_sp_JdFR-45-GCA_002011395	#006699
Euryarchaeota-none-none-none-Aciduliprofundum-Aciduliprofundum_sp_-GCA_002878135	#006699
Aenigmarchaeota-none-none-none-none-Candidatus_Aenigmarchaeota_archaeon_GMQ_bin_18-1-Ga0181639	#006600
Aenigmarchaeota-none-none-none-none-Candidatus_Aenigmarchaeota_archaeon_DRTY-7_bin_34-Ga0181641	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_SCGC_AAA011-F07-GCA_000380865	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_JGI_0000106-F11-GCA_000404305	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeum_subterraneum-GCA_000405245	#006600
Aenigmarchaeota-none-none-none-none-archaeon_GW2011_AR5-GCA_000806115	#006600
Aenigmarchaeota-none-none-none-none-Micrarchaeota_archaeon_RBG_16_49_10-GCA_001784635	#006600
Aenigmarchaeota-none-none-none-none-Micrarchaeota_archaeon_RBG_16_36_9-GCA_001786585	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_CG1_02_38_14-GCA_001873985	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_ex4484_52-GCA_002254415	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_ex4484_224-GCA_002254545	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_ex4484_56-GCA_002254685	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_ex4484_14-GCA_002255055	#006600
Aenigmarchaeota-none-none-none-none-archaeon-GCA_002688965	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_CG01_land_8_20_14_3_00_37_9-GCA_002781145	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_CG15_BIG_FIL_POST_REV_8_21_14_020_37_27-GCA_002781865	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_CG_4_8_14_3_um_filter_37_24-GCA_002782805	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_CG_4_10_14_3_um_filter_37_21-GCA_002784265	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_CG_4_9_14_3_um_filter_37_18-GCA_002789635	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon_CG_4_10_14_0_8_um_filter_37_24-GCA_002791855	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003550625	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003553585	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003553905	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003554045	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003554235	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003554845	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003555465	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663225	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663235	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663265	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663285	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663295	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663325	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663345	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663355	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663385	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663405	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663415	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663445	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663465	#006600
Aenigmarchaeota-none-none-none-none-Aenigmarchaeota_archaeon-GCA_003663475	#006600
Aigarchaeota-none-none-none-Caldiarchaeum-Caldiarchaeum_subterraneum-GCA_000270325	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-A16-GCA_000380685	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-E16-GCA_000398485	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-G05-GCA_000398505	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-J07-GCA_000398525	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-J08-GCA_000398545	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_JGI_0000001-A7-GCA_000398565	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_JGI_0000001-H6-GCA_000398585	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-D15-GCA_000402915	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-B22-GCA_000402935	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-E14-GCA_000402965	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_JGI_0000106-J15-GCA_000405685	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_JGI_0000001-B8-GCA_000405765	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-F17-GCA_000405905	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-I13-GCA_000405925	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_NZ13_MG1-GCA_003056285	#ff3333
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG2_30_32_3053-GCA_001873845	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG12_big_fil_rev_8_21_14_0_65_33_22-GCA_002762655	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG_4_8_14_3_um_filter_33_2054-GCA_002783845	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG03_land_8_20_14_0_80_32_618-GCA_002785505	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG_4_9_14_0_8_um_filter_32_206-GCA_002789105	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG_4_10_14_0_8_um_filter_32_851-GCA_002791795	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_WOR_SM1_79-GCA_001723835	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_WOR_SM1_SCG-GCA_001723845	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_WOR_SM1_86-2-GCA_001723855	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_IMC4-GCA_001742785	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_A3-GCA_002083985	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_ex4484_96-GCA_002254405	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_ex4484_2-GCA_002254565	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_ex4484_43-GCA_002254945	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_HGW-Altiarchaeales-2-GCA_002841095	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_HGW-Altiarchaeales-1-GCA_002841105	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_HGW-Altiarchaeales-3-GCA_002842715	#00cccc
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_000008665	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_profundus-GCA_000025285	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_veneficus-GCA_000194625	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sulfaticallidus-GCA_000385565	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_000734035	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_001508745	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_001508815	#006699
